timestamp,open,high,low,close,volume,trade_count,vwap
2023-01-03 09:30:00-05:00,148.66,149.15,146.91,147.32,1980500.0,19297.0,147.8870842
2023-01-03 09:35:00-05:00,147.355,149.5,147.1,149.34,1187074.0,11497.0,148.0917974
2023-01-03 09:40:00-05:00,149.34,149.96,148.6303,148.77,1089796.0,9687.0,149.47469959999998
2023-01-03 09:45:00-05:00,148.79,149.05,147.43,147.505,927665.0,8451.0,148.2195278
2023-01-03 09:50:00-05:00,147.51,147.97,146.31,146.625,859990.0,8647.0,147.047331
2023-01-03 09:55:00-05:00,146.6,146.7127,145.36,145.4273,1069154.0,10323.0,145.9142172
2023-01-03 10:00:00-05:00,145.45,145.59,144.82,145.04,804099.0,8037.0,145.2496298
2023-01-03 10:05:00-05:00,145.0633,145.19,144.32,144.39,816306.0,8856.0,144.8875914
2023-01-03 10:10:00-05:00,144.33,144.4294,143.07,143.43,973071.0,12248.0,143.779296
2023-01-03 10:15:00-05:00,143.46,144.06,143.22,143.43,668190.0,7416.0,143.6667392
2023-01-03 10:20:00-05:00,143.4214,144.17,143.35,143.95,499432.0,5529.0,143.84356580000002
2023-01-03 10:25:00-05:00,143.9728,144.09,143.24,143.52,499439.0,6054.0,143.5595288
2023-01-03 10:30:00-05:00,143.53,143.53,142.1,142.1025,853618.0,10610.0,142.6503432
2023-01-03 10:35:00-05:00,142.1026,142.37,141.62,141.79,1013859.0,9896.0,141.9519214
2023-01-03 10:40:00-05:00,141.735,142.16,141.0301,141.055,863327.0,9135.0,141.7727782
2023-01-03 10:45:00-05:00,141.07,142.8999,141.062,142.74,766065.0,7912.0,142.2717068
2023-01-03 10:50:00-05:00,142.77,142.8825,142.3928,142.4413,568768.0,6243.0,142.619019
2023-01-03 10:55:00-05:00,142.45,143.45,142.34,143.37,633486.0,5715.0,143.0036768
2023-01-03 11:00:00-05:00,143.38,143.57,142.74,142.8423,584503.0,5486.0,143.24749160000002
2023-01-03 11:05:00-05:00,142.83,142.9,142.1,142.1196,431663.0,4948.0,142.6133264
2023-01-03 11:10:00-05:00,142.14,142.41,141.95,142.15,356239.0,5149.0,142.19422300000002
2023-01-03 11:15:00-05:00,142.16,142.64,142.0,142.32,368559.0,4156.0,142.2860774
2023-01-03 11:20:00-05:00,142.29,142.3,141.77,141.845,459904.0,5155.0,141.9847612
2023-01-03 11:25:00-05:00,141.85,142.11,141.61,141.96,334251.0,4122.0,141.818307
2023-01-03 11:30:00-05:00,141.95,141.9723,140.96,141.24,516152.0,6606.0,141.3993188
2023-01-03 11:35:00-05:00,141.26,141.95,141.24,141.86,440804.0,4346.0,141.5277402
2023-01-03 11:40:00-05:00,141.86,142.61,141.6,141.6,803879.0,10291.0,141.91509660000003
2023-01-03 11:45:00-05:00,141.61,141.87,141.45,141.775,369093.0,5140.0,141.7003172
2023-01-03 11:50:00-05:00,141.78,141.99,141.24,141.42,446519.0,4615.0,141.6109708
2023-01-03 11:55:00-05:00,141.425,141.63,141.18,141.39,318443.0,3473.0,141.41646459999998
2023-01-03 12:00:00-05:00,141.405,141.87,141.2901,141.64,311427.0,3826.0,141.568917
2023-01-03 12:05:00-05:00,141.64,142.2,141.59,142.01,367507.0,3860.0,141.9529242
2023-01-03 12:10:00-05:00,142.005,142.0492,141.5959,141.93,292918.0,3225.0,141.81550099999998
2023-01-03 12:15:00-05:00,141.95,142.03,141.61,141.67,261137.0,2946.0,141.808802
2023-01-03 12:20:00-05:00,141.6899,141.97,141.33,141.375,304940.0,2929.0,141.6761424
2023-01-03 12:25:00-05:00,141.36,141.89,141.345,141.8301,214300.0,2671.0,141.7581046
2023-01-03 12:30:00-05:00,141.85,142.51,141.83,142.355,353278.0,3666.0,142.14928260000002
2023-01-03 12:35:00-05:00,142.36,142.4899,142.18,142.25,222678.0,2524.0,142.35063159999999
2023-01-03 12:40:00-05:00,142.26,142.45,142.1831,142.27,232852.0,2798.0,142.332875
2023-01-03 12:45:00-05:00,142.28,142.3735,141.59,141.81,345409.0,3902.0,141.90411360000002
2023-01-03 12:50:00-05:00,141.81,142.0,141.57,141.77,278412.0,3026.0,141.77280639999998
2023-01-03 12:55:00-05:00,141.79,142.18,141.61,141.9773,272988.0,3269.0,141.9353686
2023-01-03 13:00:00-05:00,141.97,142.18,141.8,142.0888,205207.0,2284.0,141.9770278
2023-01-03 13:05:00-05:00,142.07,142.08,141.85,141.94,154671.0,2229.0,141.9815536
2023-01-03 13:10:00-05:00,141.96,142.32,141.7665,141.8601,314568.0,3371.0,142.04353020000002
2023-01-03 13:15:00-05:00,141.89,141.98,141.63,141.7,236223.0,2831.0,141.7723524
2023-01-03 13:20:00-05:00,141.7101,142.0,141.665,141.978,257764.0,3218.0,141.810454
2023-01-03 13:25:00-05:00,141.9629,142.86,141.96,142.79,493154.0,6234.0,142.5466888
2023-01-03 13:30:00-05:00,142.8001,142.84,142.26,142.26,303574.0,3249.0,142.574823
2023-01-03 13:35:00-05:00,142.29,142.62,142.14,142.1799,280350.0,3097.0,142.3534354
2023-01-03 13:40:00-05:00,142.18,142.65,142.1657,142.32,250130.0,3314.0,142.4200082
2023-01-03 13:45:00-05:00,142.3,142.41,142.05,142.36,306042.0,4651.0,142.2889054
2023-01-03 13:50:00-05:00,142.35,142.77,142.262,142.565,271093.0,3144.0,142.5034886
2023-01-03 13:55:00-05:00,142.54,142.725,142.4603,142.6201,208307.0,2370.0,142.6390634
2023-01-03 14:00:00-05:00,142.64,142.8631,142.18,142.369,339582.0,4080.0,142.42801
2023-01-03 14:05:00-05:00,142.37,142.52,142.3,142.4,220645.0,2358.0,142.44282859999998
2023-01-03 14:10:00-05:00,142.4,142.5,142.03,142.35,333338.0,3766.0,142.2970636
2023-01-03 14:15:00-05:00,142.36,142.65,142.18,142.265,332571.0,3207.0,142.5057352
2023-01-03 14:20:00-05:00,142.275,142.61,142.245,142.3742,213207.0,2424.0,142.4560968
2023-01-03 14:25:00-05:00,142.36,142.51,142.21,142.2717,215384.0,2862.0,142.3527446
2023-01-03 14:30:00-05:00,142.32,142.44,141.64,142.0,465482.0,4777.0,142.0369074
2023-01-03 14:35:00-05:00,142.01,142.3,141.96,142.24,268394.0,2932.0,142.1867534
2023-01-03 14:40:00-05:00,142.25,142.58,142.14,142.55,364326.0,4386.0,142.2964912
2023-01-03 14:45:00-05:00,142.57,143.63,142.5,143.485,655927.0,6390.0,143.2883098
2023-01-03 14:50:00-05:00,143.5046,143.5347,142.9,143.1714,322292.0,3843.0,143.2523168
